payment_id,created_at,status,method,amount,error_code,error_description,email,phone,currency
pay_10001,2026-06-13T11:01:00Z,captured,upi,104536.65,,Payment captured successfully,priya.mehta@example.com,919839345092,INR
pay_10002,2026-03-01T08:35:00Z,captured,card,718.91,,Payment captured successfully,rahul.reddy@example.com,919866722344,INR
pay_10003,2026-03-29T16:09:00Z,captured,card,8798.89,,Payment captured successfully,mihika.pawar@example.com,919826753883,INR
pay_10004,2026-08-25T20:05:00Z,captured,upi,862.52,,Payment captured successfully,varun.mehta@example.com,919841244663,INR
pay_10005,2026-08-10T11:24:00Z,captured,card,707.55,,Payment captured successfully,rahul.pawar@example.com,919842857966,INR
pay_10006,2026-02-11T22:24:00Z,failed,card,939.31,CARD_EXPIRED,Card has expired,shreya.kulkarni@example.com,919818883684,INR
pay_10007,2026-02-24T18:13:00Z,captured,upi,74662.75,,Payment captured successfully,avni.khan@example.com,919888320463,INR
pay_10008,2026-04-13T19:14:00Z,captured,netbanking,2973.57,,Payment captured successfully,diya.saxena@example.com,919818526544,INR
pay_10009,2026-04-09T20:38:00Z,captured,netbanking,122072.18,,Payment captured successfully,aditi.iyer@example.com,919849392920,INR
pay_10010,2026-04-22T13:29:00Z,captured,card,776.67,,Payment captured successfully,simran.agarwal@example.com,919878137358,INR
pay_10011,2026-06-05T14:09:00Z,failed,card,47146.35,FRAUD_SUSPECTED,Transaction flagged for risk review,simran.joshi@example.com,919817774584,INR
pay_10012,2026-03-03T10:05:00Z,failed,upi,115975.08,ACCOUNT_BLOCKED,Bank account or card is blocked,dev.naik@example.com,919836998038,INR
pay_10013,2026-07-02T17:25:00Z,failed,netbanking,10175.24,INVALID_CVV,Card verification failed,aarav.mehta@example.com,919894705205,INR
pay_10014,2026-01-16T15:04:00Z,captured,netbanking,1283.36,,Payment captured successfully,rajat.mishra@example.com,919873440831,INR
pay_10015,2026-03-04T23:51:00Z,captured,card,274.46,,Payment captured successfully,vikram.rao@example.com,919864038913,INR
pay_10016,2026-07-06T18:51:00Z,captured,netbanking,1760.65,,Payment captured successfully,karan.jain@example.com,919883863413,INR
pay_10017,2026-01-26T09:41:00Z,captured,netbanking,44703.5,,Payment captured successfully,shreya.rao@example.com,919832097220,INR
pay_10018,2026-04-08T08:24:00Z,captured,card,149542.27,,Payment captured successfully,nandini.patel@example.com,919835487660,INR
pay_10019,2026-03-17T14:03:00Z,failed,upi,100285.04,GATEWAY_ERROR,Issuer bank declined the transaction,karan.saxena@example.com,919819121552,INR
pay_10020,2026-06-22T15:25:00Z,captured,card,91922.49,,Payment captured successfully,yash.kulkarni@example.com,919837415205,INR
pay_10021,2026-06-21T18:15:00Z,captured,card,303.7,,Payment captured successfully,rajat.iyer@example.com,919819832887,INR
pay_10022,2026-05-18T14:32:00Z,captured,card,65774.68,,Payment captured successfully,anushka.agarwal@example.com,919880993218,INR
pay_10023,2026-01-03T17:59:00Z,captured,upi,6154.17,,Payment captured successfully,kavya.reddy@example.com,919856020613,INR
pay_10024,2026-02-22T16:32:00Z,captured,upi,923.27,,Payment captured successfully,aditya.agarwal@example.com,919845159040,INR
pay_10025,2026-02-11T22:35:00Z,captured,upi,647.73,,Payment captured successfully,avni.pawar@example.com,919829876811,INR
pay_10026,2026-04-21T12:02:00Z,captured,card,4183.69,,Payment captured successfully,manav.pawar@example.com,919864543049,INR
pay_10027,2026-06-08T12:59:00Z,captured,netbanking,13106.91,,Payment captured successfully,akash.sharma@example.com,919843308443,INR
pay_10028,2026-03-10T13:50:00Z,captured,upi,9706.43,,Payment captured successfully,siddharth.joshi@example.com,919813176186,INR
pay_10029,2026-06-18T14:25:00Z,captured,card,89967.84,,Payment captured successfully,priya.iyer@example.com,919845059710,INR
pay_10030,2026-02-15T16:02:00Z,captured,card,36216.7,,Payment captured successfully,arjun.kulkarni@example.com,919815957459,INR
pay_10031,2026-07-01T21:00:00Z,failed,upi,40795.58,DUPLICATE_PAYMENT,Duplicate payment detected,meera.naik@example.com,919850308572,INR
pay_10032,2026-05-10T17:42:00Z,captured,card,2182.33,,Payment captured successfully,simran.malhotra@example.com,919883542887,INR
pay_10033,2026-08-02T08:19:00Z,captured,card,3319.36,,Payment captured successfully,rahul.sharma@example.com,919821381064,INR
